,Title,Artist,Period,Game
91,Higher Ground,TNGHT,3rd PERIOD,Oct. 4 vs. Predators
92,Vicarious,Tool,3rd PERIOD,Oct. 4 vs. Predators
93,Out Ta Get Me,Guns n Roses,3rd PERIOD,Oct. 4 vs. Predators
94,Lonely Boy,Black Keys,3rd PERIOD,Oct. 4 vs. Predators
95,Feel it Still,Portugal the Man,3rd PERIOD,Oct. 4 vs. Predators
96,Hot for Teacher,Van Halen,3rd PERIOD,Oct. 4 vs. Predators
97,Going out of my Head,Fatboy Slim,3rd PERIOD,Oct. 4 vs. Predators
98,Joker and the Thief,Wolfmother,3rd PERIOD,Oct. 4 vs. Predators
99,Blurry,Puddle of Mudd,3rd PERIOD,Oct. 4 vs. Predators
102,New York Hustle,Mick Jagger and Dave Stewart,Post-Game,Oct. 4 vs. Predators
103,New York,Ryan Adams,Post-Game,Oct. 4 vs. Predators
104,New York State of Mind,Tony Bennett and Billy Joel,Post-Game,Oct. 4 vs. Predators
1,New York City,Lenny Kravitz,Walk-In Mix,Oct. 11 vs. Sharks
2,Move,Saint Motel,Walk-In Mix,Oct. 11 vs. Sharks
3,Dreams,Alex Ross,Walk-In Mix,Oct. 11 vs. Sharks
6,1234,Laidback Luke,WARMUPS,Oct. 11 vs. Sharks
7,Lullaby,Rehab & Mike Williams,WARMUPS,Oct. 11 vs. Sharks
8,New Memories,DubVision& Afrojack,WARMUPS,Oct. 11 vs. Sharks
9,One Night,Corrupt&EV,WARMUPS,Oct. 11 vs. Sharks
10,Atlantis,Deniz Koyu,WARMUPS,Oct. 11 vs. Sharks
11,Let's Get Ill,DJ Snake&Mercer,WARMUPS,Oct. 11 vs. Sharks
12,Bass Ride,Afrojack,WARMUPS,Oct. 11 vs. Sharks
13,Go(Hardwell Remix),Moby,WARMUPS,Oct. 11 vs. Sharks
14,Dawnbreaker,Tiesto & Matisse & Sadko,WARMUPS,Oct. 11 vs. Sharks
15,The Beat,Mike Williams,WARMUPS,Oct. 11 vs. Sharks
16,Won't Stop Rocking,Rehab & Headhunterz,WARMUPS,Oct. 11 vs. Sharks
17,N2U,Showtek & Eva Shaw,WARMUPS,Oct. 11 vs. Sharks
18,Like I Do,"David Guetta, Martin Garrix & Brooks",WARMUPS,Oct. 11 vs. Sharks
19,Omnia,Ummet Ozcan,WARMUPS,Oct. 11 vs. Sharks
20,Rockin the Crowd,Block and Crown,WARMUPS,Oct. 11 vs. Sharks
23,Rather Be,Clean Bandit,PREGAME CEREMONIES,Oct. 11 vs. Sharks
24,I Feel it Coming (Remix),The Weeknd,PREGAME CEREMONIES,Oct. 11 vs. Sharks
25,Jumpsuit,twenty one pilots,PREGAME CEREMONIES,Oct. 11 vs. Sharks
28,Middle,DJ Snake,1st PERIOD,Oct. 11 vs. Sharks
29,Safe and Sound,Capital Cities,1st PERIOD,Oct. 11 vs. Sharks
30,Zombies in Love,Manufactured Superstars,1st PERIOD,Oct. 11 vs. Sharks
31,Even Flow,Pearl Jam,1st PERIOD,Oct. 11 vs. Sharks
32,Fly from Heaven,Toad the Wet Sprocket,1st PERIOD,Oct. 11 vs. Sharks
33,Love and Memories,O.A.R.,1st PERIOD,Oct. 11 vs. Sharks
34,Sweet Memories,CID & Kaskade,1st PERIOD,Oct. 11 vs. Sharks
35,One Night,Corrupt and EV,1st PERIOD,Oct. 11 vs. Sharks
36,Going out of my Head,Fatboy Slim,1st PERIOD,Oct. 11 vs. Sharks
37,No Roots,Alice Merton,1st PERIOD,Oct. 11 vs. Sharks
38,Battle Without Honor or Humanity,Tomoyasu Hotei,1st PERIOD,Oct. 11 vs. Sharks
39,Only Time,Enya,1st PERIOD,Oct. 11 vs. Sharks
40,Song 2,Blur,1st PERIOD,Oct. 11 vs. Sharks
41,Destroyer,Saint Motel,1st PERIOD,Oct. 11 vs. Sharks
42,People of the Night,AN21 & Max Vangeli,1st PERIOD,Oct. 11 vs. Sharks
43,Don't Give Up,Fedde Le Grand,1st PERIOD,Oct. 11 vs. Sharks
46,Extraordinary,Pegboard Nerds,1st INTERMISSION,Oct. 11 vs. Sharks
47,NYC Speed,Kill Hannah,1st INTERMISSION,Oct. 11 vs. Sharks
48,Got to Get You into My Life,The Beatles,1st INTERMISSION,Oct. 11 vs. Sharks
49,Treasure,Bruno Mars,1st INTERMISSION,Oct. 11 vs. Sharks
50,Adventure of a Lifetime,Coldplay,1st INTERMISSION,Oct. 11 vs. Sharks
51,Times Like These,Foo Fighters,1st INTERMISSION,Oct. 11 vs. Sharks
54,Feel About You,Silk City,2nd PERIOD,Oct. 11 vs. Sharks
55,Beginnings,Mika Zibanejad,2nd PERIOD,Oct. 11 vs. Sharks
56,Hand of Glory,Smithereens,2nd PERIOD,Oct. 11 vs. Sharks
57,Happier,Marshmello ft. bastille,2nd PERIOD,Oct. 11 vs. Sharks
58,Come back to Me,Liam Gallagher,2nd PERIOD,Oct. 11 vs. Sharks
59,Paparazzi,Lady Gaga,2nd PERIOD,Oct. 11 vs. Sharks
60,Hands Up,Prophets of Rage,2nd PERIOD,Oct. 11 vs. Sharks
61,Kids,MGMT,2nd PERIOD,Oct. 11 vs. Sharks
62,Louder,DJ Fresh,2nd PERIOD,Oct. 11 vs. Sharks
63,Can't Hold Us,Macklemore,2nd PERIOD,Oct. 11 vs. Sharks
64,Shake it,Metro Station,2nd PERIOD,Oct. 11 vs. Sharks
67,Brighter Days,Gov't Mule,2nd INTERMISSION,Oct. 11 vs. Sharks
68,Feels,Calvin Harris,2nd INTERMISSION,Oct. 11 vs. Sharks
69,Friends,Justin Bieber,2nd INTERMISSION,Oct. 11 vs. Sharks
70,Don't Stop,Tiesto,2nd INTERMISSION,Oct. 11 vs. Sharks
73,Whatever it Takes,Imagine Dragons,3rd PERIOD,Oct. 11 vs. Sharks
74,Nice for What,Drake,3rd PERIOD,Oct. 11 vs. Sharks
75,Lithium,Nirvana,3rd PERIOD,Oct. 11 vs. Sharks
76,Bohemian Like You,The Dandy Warhols,3rd PERIOD,Oct. 11 vs. Sharks
77,Love's Gonna Get You,Fedde Le Grand,3rd PERIOD,Oct. 11 vs. Sharks
78,7 Nation Army,White Stripes,3rd PERIOD,Oct. 11 vs. Sharks
79,The Boogie,Outasight,3rd PERIOD,Oct. 11 vs. Sharks
80,Come on Get it,Lenny Kravitz,3rd PERIOD,Oct. 11 vs. Sharks
81,Praise You,Fatboy Slim,3rd PERIOD,Oct. 11 vs. Sharks
82,Booyah,Showtek,3rd PERIOD,Oct. 11 vs. Sharks
83,Since you Been Gone,The Heavy,3rd PERIOD,Oct. 11 vs. Sharks
84,Clarity,Zedd,3rd PERIOD,Oct. 11 vs. Sharks
85,You Lift Me Up,Mikey Wax,3rd PERIOD,Oct. 11 vs. Sharks
86,The Moment,Nicky Romero,3rd PERIOD,Oct. 11 vs. Sharks
89,Blitzkrieg Bop,The Ramones,Overtime,Oct. 11 vs. Sharks
93,High On Life,Martin Garrix,Rangers Goal Song,Oct. 11 vs. Sharks
94,Empire State of Mind,Jay-Z ft. Alicia Keys,Rangers Goal Song,Oct. 11 vs. Sharks
95,NY State of Mind,Tony Bennett and Billy Joel,Rangers Goal Song,Oct. 11 vs. Sharks
1,Say Something,Justin Timberlake,Walk-In Mix,Oct. 13 vs. Oilers
2,Good Life,One Republic,Walk-In Mix,Oct. 13 vs. Oilers
3,Castle on the Hill,Ed Sheeran,Walk-In Mix,Oct. 13 vs. Oilers
4,These Days,"Rudimental ft. Jess Glynne, Macklemore & Dan Caplen",Walk-In Mix,Oct. 13 vs. Oilers
5,All We Ever Knew,The Head and the Heart,Walk-In Mix,Oct. 13 vs. Oilers
6,Let You be Right,Meghan Trainor,Walk-In Mix,Oct. 13 vs. Oilers
7,Lose Yourself to Dance,Daft Punk,Walk-In Mix,Oct. 13 vs. Oilers
10,Around the World,Kings of Leon,ORGAN SET,Oct. 13 vs. Oilers
11,The Hockey Song,Stompin' Tom Conners,ORGAN SET,Oct. 13 vs. Oilers
12,Free Fallin',Tom Petty,ORGAN SET,Oct. 13 vs. Oilers
13,Happy,Pharrell Williams,ORGAN SET,Oct. 13 vs. Oilers
16,1234,Laidback Luke,WARMUPS,Oct. 13 vs. Oilers
17,Lullaby,Rehab & Mike Williams,WARMUPS,Oct. 13 vs. Oilers
18,New Memories,DubVision& Afrojack,WARMUPS,Oct. 13 vs. Oilers
19,One Night,Corrupt&EV,WARMUPS,Oct. 13 vs. Oilers
20,Atlantis,Deniz Koyu,WARMUPS,Oct. 13 vs. Oilers
21,Let's Get Ill,DJ Snake&Mercer,WARMUPS,Oct. 13 vs. Oilers
22,Bass Ride,Afrojack,WARMUPS,Oct. 13 vs. Oilers
23,Go(Hardwell Remix),Moby,WARMUPS,Oct. 13 vs. Oilers
24,Dawnbreaker,Tiesto & Matisse & Sadko,WARMUPS,Oct. 13 vs. Oilers
25,The Beat,Mike Williams,WARMUPS,Oct. 13 vs. Oilers
26,Won't Stop Rocking,Rehab & Headhunterz,WARMUPS,Oct. 13 vs. Oilers
27,N2U,Showtek & Eva Shaw,WARMUPS,Oct. 13 vs. Oilers
28,Like I Do,"David Guetta, Martin Garrix & Brooks",WARMUPS,Oct. 13 vs. Oilers
29,Omnia,Ummet Ozcan,WARMUPS,Oct. 13 vs. Oilers
30,Rockin the Crowd,Block and Crown,WARMUPS,Oct. 13 vs. Oilers
33,World in our Hands,Taio Cruz,PREGAME CEREMONIES,Oct. 13 vs. Oilers
34,Jumpsuit,Twenty One Pilots,PREGAME CEREMONIES,Oct. 13 vs. Oilers
38,Natural,Imagine Dragons,1st PERIOD,Oct. 13 vs. Oilers
39,Cake by the Ocean,DNCE,1st PERIOD,Oct. 13 vs. Oilers
40,The Middle,Zedd ft. Maren Morris and Grey,1st PERIOD,Oct. 13 vs. Oilers
41,I Follow Rivers (Remix),Lykke Li,1st PERIOD,Oct. 13 vs. Oilers
42,This is What you Came For,Calvin Harris ft. Rihanna,1st PERIOD,Oct. 13 vs. Oilers
43,Beginnings,Mika Zibanejad,1st PERIOD,Oct. 13 vs. Oilers
44,Havana,Camila Cabello,1st PERIOD,Oct. 13 vs. Oilers
45,Finesse,Bruno Mars,1st PERIOD,Oct. 13 vs. Oilers
